Parameter,Values,Parameter,Values,Parameter,Values
$A_{R C}$,0.01362272,$\kappa_{r \gamma g}$,1.033860289,$e_{0}$,0.9
$A_{R U}$,0.016473012,$\kappa_{r}$,1.169269949,$r_{0}$,0.060679612
$A_{R}$,0.030095732,$\kappa_{v \gamma g}$,0.033913057,$s$,-10
$C_{D tune}$,1.080778891,$\kappa_{v}$,0.889392139,$w_{f}$,0.297
$C_{D0 tune}$,7.820651569,$\nu$,1.19E-06,$x$,0.02780091
$C_{L tune}$,1,$\rho$,1000,$x_{H}$,0.1249549
$\Omega$,0,$a_{H}$,0.128245528,$x_{R}$,-2.45
$\delta_{lim}$,0.261799388,$b_{R}$,0.174271845,$y_{R}$,0
$\gamma_{0 port}$,0.044,$c_{r}$,0.146601942,$y_{p port}$,-0.2176
$\gamma_{0 stbd}$,-0.044,$c_{t}$,0.198786408,$y_{p stbd}$,0.2176
